Wall time,Step,Value
1547778661.988915,0,0.6971704959869385
1547778967.5483167,1,0.4813111126422882
1547779241.5395854,2,0.4272738993167877
1547779515.3566236,3,0.4019922912120819
1547779790.0166538,4,0.39260053634643555
1547780064.57246,5,0.3830317258834839
1547780338.25445,6,0.36727604269981384
1547780614.2621868,7,0.3628927171230316
1547780891.738978,8,0.3526870012283325
1547781166.4980423,9,0.3533518612384796
1547781442.252574,10,0.33814969658851624
1547781715.7378962,11,0.3367011845111847
1547781991.1214352,12,0.32372429966926575
1547782264.6918879,13,0.3454321622848511
1547782537.2945404,14,0.3169364333152771
1547782809.1681185,15,0.3152606785297394
1547783081.1782925,16,0.3247460722923279
1547783351.8187785,17,0.3117963671684265
1547783621.475245,18,0.3032210171222687
1547783893.9092498,19,0.30870261788368225
1547784167.5339782,20,0.29746013879776
1547784440.3019788,21,0.30444958806037903
1547784712.4715323,22,0.3027666509151459
1547784984.2094188,23,0.300603985786438
1547785258.1252544,24,0.29293298721313477
1547785530.954915,25,0.2927156090736389
1547785803.7685454,26,0.29620277881622314
1547786076.7402217,27,0.29538482427597046
1547786348.2405784,28,0.28781524300575256
1547786620.5157845,29,0.28041186928749084
1547786892.6262608,30,0.2830139994621277
1547787164.53571,31,0.289279043674469
1547787436.8204467,32,0.2874181270599365
1547787707.032156,33,0.2742289900779724
1547787976.6006563,34,0.2801225483417511
1547788247.5666194,35,0.2732793390750885
1547788516.3214,36,0.28272345662117004
1547788787.039837,37,0.268023282289505
1547789056.8441014,38,0.2678453028202057
1547789328.9523697,39,0.2690718173980713
1547789778.2350523,40,0.24853886663913727
1547790118.4950094,41,0.24135129153728485
1547790461.9416628,42,0.22612109780311584
1547790800.663688,43,0.21869106590747833
1547791141.8571837,44,0.2230248749256134
1547791481.5653458,45,0.22094638645648956
1547791820.9183874,46,0.21768473088741302
1547792160.211279,47,0.2075686901807785
1547792499.8627245,48,0.2129269391298294
1547792842.8466678,49,0.2098255604505539
1547793184.6190403,50,0.20536641776561737
1547793525.953416,51,0.2077312022447586
1547793868.5378149,52,0.20194227993488312
1547794208.4133883,53,0.20842118561267853
1547794553.7064128,54,0.20183776319026947
1547794897.8732543,55,0.2013157159090042
1547795237.521032,56,0.2016039937734604
1547795577.3100104,57,0.19910787045955658
1547795918.449096,58,0.19737040996551514
1547796262.172295,59,0.19533909857273102
1547796603.1810892,60,0.18670757114887238
1547796946.8004556,61,0.19740308821201324
1547797288.9163582,62,0.1933353692293167
1547797627.2822287,63,0.19071055948734283
1547797969.072947,64,0.18635676801204681
1547798311.306411,65,0.18534012138843536
1547798652.4511013,66,0.1848803013563156
1547798994.7111568,67,0.19105714559555054
1547799334.5903797,68,0.1856037974357605
1547799676.5941622,69,0.18282680213451385
1547800011.512192,70,0.18366487324237823
1547800352.4117897,71,0.1809798628091812
1547800696.2043023,72,0.18349075317382812
1547801038.605449,73,0.17569297552108765
1547801381.3653827,74,0.17971329391002655
1547801720.952304,75,0.1792343705892563
1547802061.6260893,76,0.18388482928276062
1547802403.8365169,77,0.1755017787218094
1547802745.6949282,78,0.17564886808395386
1547803084.2903364,79,0.17243772745132446
1547803425.6484458,80,0.17358440160751343
